geo,text,user,user_location
,"Hey @Iberia_en , thanks for leaving my family of 4 stranded here in Barcelona. Big plus on closing your customer se… https://t.co/EvPBroto0q",rccheng22,
,hello every other gay person in bristol airport headed to barcelona for prima,prettierjesus_,south wales (she/her) 
,Flight Number #BA480 From #LHR (London Heathrow) to #BCN (Barcelona Airport) has departed,LHRDepartureBot,
,Flight Number #BA486 From #LHR (London Heathrow) to #BCN (Barcelona Airport) has departed,LHRDepartureBot,
,@KellyQuilt We’ve just come back from Barcelona. Straight through airport at both ends and no roaming charges. Use… https://t.co/g8oubmOxOL,BladeCarl,
,So many dilfs in Barcelona airport,JackSchilgen,"New York, NY"
,"RT @jetfury: Once again #Brexit ruins supreme 
No one to stamp our Carnet at Barcelona Airport 
So we goto hope the Guys at Bristol will un…",EuropeOnAvon,
,"Honey is not vegan, Barcelona Airport lounge &amp; Michelin chef @AndreuGenestra 😢 @premtraveller https://t.co/B1cdztdQqX",michielvdeursen,
,"RT @jetfury: Once again #Brexit ruins supreme 
No one to stamp our Carnet at Barcelona Airport 
So we goto hope the Guys at Bristol will un…",andyb505,Sunny South coast of England
,Shakira breaks her social media silence following her split from Gerard Pique after 11 years together – as singer a… https://t.co/Mpkoibib7B,Ghanawebnewsonl,
,"RT @jetfury: Once again #Brexit ruins supreme 
No one to stamp our Carnet at Barcelona Airport 
So we goto hope the Guys at Bristol will un…",FranksWildTweet,
,"RT @jetfury: Once again #Brexit ruins supreme 
No one to stamp our Carnet at Barcelona Airport 
So we goto hope the Guys at Bristol will un…",sonotrode,"Oxford, UK"
,"Once again #Brexit ruins supreme 
No one to stamp our Carnet at Barcelona Airport 
So we goto hope the Guys at Bris… https://t.co/Z6nL19tWFG",jetfury,zumerzet
,Transavia Holland Compensation Alert! Were you scheduled to be on flight HV5132 from Barcelona International Airpor… https://t.co/qP1MwuVvI0,Flight_Patrol,
,"RT @hbhstansted: 𝑩𝒂𝒓𝒄𝒆𝒍𝒐𝒏𝒂, 𝑺𝒑𝒂𝒊𝒏.📍 
Dreaming of a summer holiday? 🌞 
Barcelona is known for its art and architecture and offers the ideal…",atmosphereairuk,London Stansted Airport
,"RT @Bdaily: .@Ryanair has put new flights on sale to Barcelona and Cork, adding to their other 19 destinations currently available from @NC…",NCLairport,"Newcastle upon Tyne, UK"
,@ScotsAbroadPod A peak single when I was in Barcelona to Reus airport (2 hour trip ) was €9 euros . Yet a 50 minute… https://t.co/MM9GT1cIFY,tomheadden,
,"RT @travelweekly: Read this week's edition: https://t.co/1jKj3iKft6

Industry leaders slam government following blame for cancellation chao…",travjournalist,UK
,RT @donadulcinea: I always wonder who made this mosaic that is made on the top side of the counters at #Barcelona airport #AlwaysLookUp 👀…,miccaman,"Ghent, Belgium"
,RT @zooweee_mama: i just had my movie moment running through the barcelona airport to kiss goodbye at the gate to the girl I started seeing…,_lil_jalapeno,
,".@Ryanair has put new flights on sale to Barcelona and Cork, adding to their other 19 destinations currently availa… https://t.co/CQmny1SEWL",BdailyNorthEast,"North East, England"
,".@Ryanair has put new flights on sale to Barcelona and Cork, adding to their other 19 destinations currently availa… https://t.co/uBro26MY44",Bdaily,UK
,"RT @kathyfarthing: So in another great Brexit moment, British passports can’t be used in the self-check in machines at Barcelona airport (w…",SA33406133,
,"RT @jamesnormanfyfe: Not since my Year 9 trip to Thorpe Park to take in ‘Saw: The Ride’ have I experienced such a joyless, long queue as th…",SA33406133,
,RT @LHRDepartureBot: Flight Number #BA480 From #LHR (London Heathrow) to #BCN (Barcelona Airport) has been CANCELLED,claimcompanies,
,Flight Number #BA480 From #LHR (London Heathrow) to #BCN (Barcelona Airport) has been CANCELLED,LHRDepartureBot,
,"RT @travelweekly: Read this week's edition: https://t.co/1jKj3iKft6

Industry leaders slam government following blame for cancellation chao…",twjobsuk,London Victoria
,KLM Royal Dutch Airlines Compensation Alert! Were you scheduled to be on flight KL1676 from Barcelona International… https://t.co/9v1nlD9gob,Flight_Patrol,
,"@pat93452408 @Ryanair Hi Pat, 

Barcelona flights are currently on sale from November to March, and are not yet on… https://t.co/Arg4SrQhlA",NCLairport,"Newcastle upon Tyne, UK"
,Attention Transavia Holland passengers! Were you scheduled to be on flight HV5131 from Amsterdam Airport Schiphol t… https://t.co/jlzkkm6yIp,Flight_Patrol,
,Security Barcelona airport = 30 seconds. Security Eindhoven airport = 3 hours. https://t.co/pqDIq0V91n,Gerard33038087,
,Attention KLM Royal Dutch Airlines passengers! Were you scheduled to be on flight KL1675 from Amsterdam Airport Sch… https://t.co/QykNxKSsc2,Flight_Patrol,
,RT @claireofaragon: @vueling has the 15:05 Turin to Barcelona flight been cancelled? It’s not on the departure board in the airport,Flight_Refunds,"London, UK"
,"Not since my Year 9 trip to Thorpe Park to take in ‘Saw: The Ride’ have I experienced such a joyless, long queue as… https://t.co/krMiZXXrMr",jamesnormanfyfe,London
,@vueling has the 15:05 Turin to Barcelona flight been cancelled? It’s not on the departure board in the airport,claireofaragon,glasgow
